r2_score_train_P1,r2_score_test_P1,r2_score_train_P2,r2_score_test_P2,r2_score_train_P3,r2_score_test_P3,r2_score_train_P4,r2_score_test_P4,r2_score_train_P5,r2_score_test_P5,r2_score_train_P6,r2_score_test_P6,r2_score_train_P7,r2_score_test_P7,r2_score_train_P8,r2_score_test_P8,r2_score_train_P9,r2_score_test_P9
,,,,,,,,,,0.6321691659836154,0.022299992975936322,,,,,,
,,,,,,,,,,,,0.5804362808199146,0.45208135623464296,,,,
,,,,,,,,,,,,,,0.8413753752033645,0.223388251489389,,
,,,,,,,,,,,,,,,,0.8508987167952835,0.022016304755720473
0.6462976912478963,0.31649350665020237,,,,,,,,,,,,,,,,
,,0.8369949368314366,0.19274243443399963,,,,,,,,,,,,,,
,,,,0.6955631008729283,0.38076968139879797,,,,,,,,,,,,
,,,,,,0.8653156332966402,0.8007069248816479,,,,,,,,,,
,,,,,,,,0.8850733221132512,0.2633475791753338,,,,,,,,
,,,,,,,,,,0.5976478284620251,0.3238679812435361,,,,,,
,,,,,,,,,,,,0.6422442524946743,0.16189555282931845,,,,
,,,,,,,,,,,,,,0.8313625621075567,0.3560774425012857,,
,,,,,,,,,,,,,,,,0.8265039614513959,0.4520231662845181
0.6441896301951007,0.23471530205847013,,,,,,,,,,,,,,,,
,,0.8037982260649075,0.41797206341479687,,,,,,,,,,,,,,
,,,,0.688086707206401,0.21569181189521958,,,,,,,,,,,,
,,,,,,0.9048165215645468,0.3297069901767251,,,,,,,,,,
,,,,,,,,0.87522858351808,0.5295178729308212,,,,,,,,
,,,,,,,,,,0.6326358527552558,-0.4975710694951305,,,,,,
,,,,,,,,,,,,0.6139466028611159,0.26642161496896444,,,,
,,,,,,,,,,,,,,0.8530315196575989,0.3315188352713223,,
,,,,,,,,,,,,,,,,0.8206775967980957,0.32973585178516074
0.6248802811980242,0.39294852615037257,,,,,,,,,,,,,,,,
,,0.8292118099844173,0.2548278120496853,,,,,,,,,,,,,,
,,,,0.6824790387654116,0.3133180944004127,,,,,,,,,,,,
,,,,,,0.8783756579365318,0.5226787764781403,,,,,,,,,,
,,,,,,,,0.8981418559686102,0.36930788927791036,,,,,,,,
,,,,,,,,,,0.5993939505185737,0.1232465702990424,,,,,,
,,,,,,,,,,,,0.6486840639696297,0.16387321029351987,,,,
,,,,,,,,,,,,,,0.8651907638889889,-0.22186298547691674,,
,,,,,,,,,,,,,,,,0.8405721498241319,0.3826930090708649
0.6274236899906054,0.3137159674857014,,,,,,,,,,,,,,,,
,,0.8226993450062641,-0.5621701619058557,,,,,,,,,,,,,,
,,,,0.6822935713503333,0.40007725761971025,,,,,,,,,,,,
,,,,,,0.8734629302711742,0.47247766417639125,,,,,,,,,,
